Global Land and Ocean Temperature Anomalies, April
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.05
1881,0.07
1882,-0.15
1883,-0.21
1884,-0.28
1885,-0.29
1886,-0.19
1887,-0.26
1888,-0.11
1889,0.08
1890,-0.27
1891,-0.25
1892,-0.32
1893,-0.34
1894,-0.38
1895,-0.17
1896,-0.23
1897,0.06
1898,-0.36
1899,-0.19
1900,-0.09
1901,-0.04
1902,-0.26
1903,-0.35
1904,-0.50
1905,-0.40
1906,-0.06
1907,-0.37
1908,-0.45
1909,-0.60
1910,-0.39
1911,-0.54
1912,-0.20
1913,-0.38
1914,-0.25
1915,0.03
1916,-0.26
1917,-0.47
1918,-0.43
1919,-0.06
1920,-0.19
1921,-0.21
1922,-0.16
1923,-0.39
1924,-0.23
1925,-0.18
1926,-0.14
1927,-0.25
1928,-0.24
1929,-0.33
1930,-0.21
1931,-0.14
1932,-0.03
1933,-0.22
1934,-0.27
1935,-0.29
1936,-0.17
1937,-0.13
1938,0.08
1939,-0.10
1940,0.19
1941,0.28
1942,0.16
1943,0.11
1944,0.25
1945,0.29
1946,0.16
1947,0.06
1948,-0.05
1949,-0.02
1950,-0.18
1951,-0.08
1952,0.09
1953,0.24
1954,-0.12
1955,-0.23
1956,-0.27
1957,0.02
1958,0.11
1959,0.12
1960,-0.06
1961,0.15
1962,0.11
1963,0.02
1964,-0.20
1965,-0.18
1966,-0.07
1967,0.01
1968,-0.07
1969,0.18
1970,0.13
1971,-0.10
1972,0.07
1973,0.29
1974,-0.05
1975,0.08
1976,0.00
1977,0.29
1978,0.13
1979,0.11
1980,0.33
1981,0.35
1982,0.22
1983,0.29
1984,0.14
1985,0.14
1986,0.26
1987,0.30
1988,0.46
1989,0.29
1990,0.53
1991,0.52
1992,0.30
1993,0.31
1994,0.36
1995,0.45
1996,0.26
1997,0.42
1998,0.76
1999,0.47
2000,0.63
2001,0.58
2002,0.57
2003,0.58
2004,0.59
2005,0.71
2006,0.52
2007,0.72
2008,0.48
2009,0.62
2010,0.85
2011,0.62
2012,0.73
2013,0.58
2014,0.80
2015,0.80
2016,1.11
2017,0.91
2018,0.84
