year,country,production_gw
2010,china,8.4953
2011,china,15.454985714285714
2012,china,19.8439
2013,china,21.469114285714287
2014,china,30.310614285714287
2015,china,37.36365714285714
2016,china,48.67628571428571
2017,china,68.1142375
2018,china,82.37782222222222
2019,china,96.07165
2010,taiwan,3.159371428571429
2011,taiwan,4.517485714285714
2012,taiwan,5.0263714285714265
2013,taiwan,8.245514285714286
2014,taiwan,8.79497142857143
2015,taiwan,9.370899999999999
2016,taiwan,11.745742857142858
2017,taiwan,13.416687499999995
2018,taiwan,8.493399999999994
2019,taiwan,5.349999999999994
2010,europe,3.027842857142856
2011,europe,3.234071428571429
2012,europe,2.575214285714285
2013,europe,1.3588571428571399
2014,europe,0.7415857142857121
2015,europe,1.3076714285714317
2016,europe,1.9434571428571417
2017,europe,1.2245374999999967
2018,europe,0.6820000000000022
2019,europe,0.5790750000000031
2010,japan,2.813471428571427
2011,japan,2.8615714285714304
2012,japan,2.956785714285715
2013,japan,3.5429571428571442
2014,japan,4.025057142857143
2015,japan,3.7256
2016,japan,4.091628571428572
2017,japan,3.3091750000000104
2018,japan,1.9918444444444532
2019,japan,1.4423249999999967
2010,malaysia,1.5060857142857174
2011,malaysia,2.233828571428571
2012,malaysia,2.0810142857142857
2013,malaysia,2.6866571428571433
2014,malaysia,3.635957142857144
2015,malaysia,5.546385714285712
2016,malaysia,8.513628571428569
2017,malaysia,8.268662500000005
2018,malaysia,9.709844444444443
2019,malaysia,11.793999999999997
2010,us,1.2418428571428564
2011,us,1.1857571428571418
2012,us,0.9018285714285739
2013,us,0.8886428571428553
2014,us,0.7797428571428568
2015,us,0.9228285714285747
2016,us,1.2526857142857182
2017,us,0.7265499999999889
2018,us,1.280411111111107
2019,us,1.560850000000002
2010,row,1.086085714285712
2011,row,1.3311714285714267
2012,row,1.5804142857142836
2013,row,2.2085714285714317
2014,row,3.1626714285714286
2015,row,4.765599999999999
2016,row,10.56561428571429
2017,row,13.726487500000005
2018,row,18.02916666666667
2019,row,22.486774999999994
